run_id,label,precision,recall,f1-score,support
1,0,0.9,0.7912087912087912,0.8421052631578948,91.0
1,1,0.7956989247311828,0.9024390243902439,0.8457142857142856,82.0
1,accuracy,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8439306358381503
1,macro avg,0.8478494623655914,0.8468239077995176,0.8439097744360902,173.0
1,weighted avg,0.8505624961153584,0.8439306358381503,0.8438158981268199,173.0
2,0,0.9,0.7912087912087912,0.8421052631578948,91.0
2,1,0.7956989247311828,0.9024390243902439,0.8457142857142856,82.0
2,accuracy,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8439306358381503
2,macro avg,0.8478494623655914,0.8468239077995176,0.8439097744360902,173.0
2,weighted avg,0.8505624961153584,0.8439306358381503,0.8438158981268199,173.0
3,0,0.9,0.7912087912087912,0.8421052631578948,91.0
3,1,0.7956989247311828,0.9024390243902439,0.8457142857142856,82.0
3,accuracy,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8439306358381503
3,macro avg,0.8478494623655914,0.8468239077995176,0.8439097744360902,173.0
3,weighted avg,0.8505624961153584,0.8439306358381503,0.8438158981268199,173.0
4,0,0.9,0.7912087912087912,0.8421052631578948,91.0
4,1,0.7956989247311828,0.9024390243902439,0.8457142857142856,82.0
4,accuracy,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8439306358381503
4,macro avg,0.8478494623655914,0.8468239077995176,0.8439097744360902,173.0
4,weighted avg,0.8505624961153584,0.8439306358381503,0.8438158981268199,173.0
5,0,0.9,0.7912087912087912,0.8421052631578948,91.0
5,1,0.7956989247311828,0.9024390243902439,0.8457142857142856,82.0
5,accuracy,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8439306358381503
5,macro avg,0.8478494623655914,0.8468239077995176,0.8439097744360902,173.0
5,weighted avg,0.8505624961153584,0.8439306358381503,0.8438158981268199,173.0
6,0,0.9,0.7912087912087912,0.8421052631578948,91.0
6,1,0.7956989247311828,0.9024390243902439,0.8457142857142856,82.0
6,accuracy,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8439306358381503
6,macro avg,0.8478494623655914,0.8468239077995176,0.8439097744360902,173.0
6,weighted avg,0.8505624961153584,0.8439306358381503,0.8438158981268199,173.0
7,0,0.9,0.7912087912087912,0.8421052631578948,91.0
7,1,0.7956989247311828,0.9024390243902439,0.8457142857142856,82.0
7,accuracy,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8439306358381503
7,macro avg,0.8478494623655914,0.8468239077995176,0.8439097744360902,173.0
7,weighted avg,0.8505624961153584,0.8439306358381503,0.8438158981268199,173.0
